species,n_significant_pairs,n_total_pairs,pct_significant,strongest_pair,strongest_p_adjusted,strongest_effect_size
s__GGB61048_SGB83097,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,5.552223327023649e-12,-2.0547836429281308
s__Acinetobacter_pseudolwoffii,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,2.317839609665728e-13,-1.2474901752540413
s__Acinetobacter_sp_ANC_4204,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,3.1490653885003944e-08,-0.8071345142052752
s__GGB65286_SGB88265,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.986021419812478e-08,-3.360414136356701
s__GGB57281_SGB78792,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.986021419812478e-08,9.15074223805152
s__GGB55003_SGB76235,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__Aquirufa_antheringensis,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,6.701030257577328e-10,-0.3668132785594471
s__GGB75611_SGB103138,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.446357135762846e-11,-2.5708014565109902
s__Agrobacterium_tomkonis,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB61782_SGB83906,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.561901399456444e-07,-1.2946235897268425
s__GGB46527_SGB64388,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB46525_SGB64386,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB47282_SGB65238,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB46797_SGB64687,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,4.4363426862508615e-12,-1.1076011055810562
s__Simplicispira_sp_110,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,5.4917581992033094e-05,-0.7655240340219411
s__Limnohabitans_parvus,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,6.701030257577328e-10,-0.5941612499981703
s__Lelliottia_amnigena,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.561901399456444e-07,-1.165078383122742
s__Leclercia_adecarboxylata,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.561901399456444e-07,-1.3513758111633583
s__Lactococcus_lactis,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,2.9719296185088284e-07,-2.5685361271399576
s__GGB96995_SGB136899,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Kaistella_chaponensis,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__Sphingorhabdus_lacus,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,3.3348876602374673e-10,-0.7731852134501739
s__Sphingorhabdus_rigui,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,2.1021149334664976e-13,-1.2356185129815513
s__Jeotgalibaca_porci,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB46168_SGB63936,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,1.3267500747694843e-10,-2.334438475816561
s__Stenotrophomonas_maltophilia,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB46018_SGB63757,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.242086949305035e-10,-2.0562118859556073
s__Limnohabitans_sp_Rim47,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Acidovorax_sp_BoFeN1,5,6,83.33333333333333,Chu_2017_sludge vs Rowe_2017_hospital_wastewater,5.9740434757287475e-06,6.429643939784009
s__GGB4571_SGB6317,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,1.9304087692816575e-07,-2.7486773418569186
s__GGB44499_SGB61930,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,1.374784845855701e-10,-2.1991316406855077
s__GGB45669_SGB63385,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.446357135762846e-11,-2.4134498843656083
s__Polynucleobacter_sp_MWH_CaK5,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Polynucleobacter_sp_MWH_Jannik1A5,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Polynucleobacter_sp_es_MAR_4,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Polynucleobacter_yangtzensis,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.986021419812478e-08,11.311357209409405
s__GGB47559_SGB65524,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__Burkholderiales_unclassified_SGB103074,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,1.1880948638472887e-15,-1.7612681820042808
s__Caedimonas_varicaedens,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.986021419812478e-08,6.446033638289206
s__GGB40645_SGB64801,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.359639336793316e-08,-1.5935156900256395
s__Candidatus_Bipolaricaulis_anaerobius,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__GGB42856_SGB80180,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__GGB42087_SGB59228,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__GGB41806_SGB58900,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.024615915400874e-11,-2.9316039352322507
s__Pseudomonas_aeruginosa,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Candidatus_Velamenicoccus_archaeovorus,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__Candidatus_Fonsibacter_ubiquis,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Candidatus_Megaira_endosymbiont_of_Carteria_cerasiformis,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.986021419812478e-08,9.08126942384257
s__GGB24669_SGB36543,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.7099733402738496e-08,-2.71634027986452
s__Candidatus_Methylopumilus_universalis,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Candidatus_Nanopelagicus_SGB64093,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Methanocorpusculum_bavaricum,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,7.961725631928128e-10,-0.6345822835915926
s__Brucella_anthropi,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Mesotoga_prima,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__Neglectibacter_timonensis,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,6.872878626511734e-09,-0.5663365272739584
s__Candidatus_Planktophila_limnetica,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Candidatus_Planktophila_sulfonica,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Candidatus_Planktophila_vernalis,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Limnohabitans_sp_Rim11,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Limnohabitans_sp_Hippo3,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Candidatus_Syntrophosphaera_thermopropionivorans,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.1117620005193813e-09,-2.457202206790964
s__Diaphorobacter_nitroreducens,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Limnohabitans_sp_G3_2,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Limnohabitans_sp_63ED37_2,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Limnohabitans_sp_2KL_3,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Limnohabitans_sp_2KL_27,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Methanoculleus_SGB45879,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__GGB34754_SGB82226,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Cutibacterium_acnes,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,7.980082605190891e-15,-1.4849656808953493
s__Flavobacterium_cheniae,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,1.9304087692816575e-07,-2.8545557928709235
s__GGB34383_SGB60872,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB32489_SGB48813,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Epilithonimonas_hominis,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,5.986021419812478e-08,-0.22107957946780432
s__GGB43987_SGB61359,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB30069_SGB42979,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB29233_SGB41982,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB29038_SGB41759,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Polynucleobacter_sp_AP_Ainpum_60_G11,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB28570_SGB41183,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Polymorphobacter_arshaanensis,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.4021456926362762e-09,-1.8139882922954496
s__GGB28569_SGB41182,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB42932_SGB60155,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Ferribacterium_limneticum,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,1.5180017259366412e-07,-1.293102512995299
s__Flavobacterium_aquatile,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.561901399456444e-07,-1.4204203689222985
s__Flavobacterium_celericrescens,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.561901399456444e-07,-1.1611146112723096
s__GGB25847_SGB37835,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,1.2350644767749333e-10,-2.4754003484804676
s__Polynucleobacter_asymbioticus,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Polynucleobacter_cosmopolitanus,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Polynucleobacter_difficilis,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,6.099966189022634e-11,-0.9844438504502513
s__Polynucleobacter_sp_30F_ANTBAC,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,6.701030257577328e-10,-0.35426959380064316
s__Polynucleobacter_sp_31A_FELB,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,6.701030257577328e-10,-0.5297315014396258
s__Polynucleobacter_sp_78F_HAINBA,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.986021419812478e-08,9.637827361218918
s__Polynucleobacter_sp_AM_26B4,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Flavobacterium_franklandianum,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.5037156823162416e-11,-3.143357434330614
s__Flavobacterium_inviolabile,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,4.267840741977482e-09,-1.0862728610012493
s__GGB25836_SGB37823,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__GGB25723_SGB84803,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB32215_SGB37143,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB26945_SGB39146,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,4.35050893282441e-12,-1.0823936957424223
s__GGB27181_SGB39400,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB28528_SGB41128,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB24445_SGB36288,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,4.623973468334938e-09,-1.8501849519402573
s__Trichococcus_shcherbakoviae,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.9056629769570944e-10,-2.150502912775339
s__GGB28494_SGB41084,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB25251_SGB37187,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Fluviibacter_phosphoraccumulans,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.986021419812478e-08,11.147677800383567
s__GGB15004_SGB62020,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.446357135762846e-11,-2.725209700981221
s__GGB26464_SGB38629,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,1.6315838140068458e-10,-0.6753872565181747
s__Flavobacterium_dankookense,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,1.6590759511956043e-11,-1.7595891871485296
s__GGB24856_SGB81948,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB26186_SGB38199,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,1.5582282940619846e-18,-2.3362985086052457
s__GGB25206_SGB41973,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB23780_SGB65296,5,6,83.33333333333333,Chu_2017_sludge vs Rowe_2017_hospital_wastewater,1.3639266195051968e-06,6.6761620825638435
s__GGB23787_SGB63754,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.446357135762846e-11,-2.4073750887989367
s__GGB25206_SGB37138,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB25723_SGB106723,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB38373_SGB52357,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Dechloromonas_sp_H13,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,1.2350644767749333e-10,-0.7142355395896087
s__Deefgea_tanakiae,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,3.0569732649988083e-12,-0.9129839654920362
s__GGB25250_SGB37186,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB25207_SGB41980,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB24759_SGB36651,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,1.5460609324532662e-07,-1.3922755285298767
s__GGB24645_SGB36508,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.8148317975831535e-10,-2.1753321788670092
s__GGB73886_SGB39359,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__GGB35206_SGB49924,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,1.1431505699509112e-09,-2.0049912937496948
s__GGB24641_SGB36504,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,5.177974455107972e-11,-0.5945597273161038
s__GGB25229_SGB37165,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB25232_SGB37168,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Denitrificimonas_caeni,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,6.872878626511734e-09,-0.4584968533087986
s__GGB35775_SGB48092,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB24407_SGB36248,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,7.9111760103077585e-22,-10.114361180017886
s__GGB38799_SGB54900,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,2.105564805295251e-14,-1.1981515216045469
s__GGB39817_SGB99175,4,6,66.66666666666667,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,5.826078564761655e-10,-2.0379579632537195
s__GGB25454_SGB37409,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB25583_SGB37553,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB25719_SGB61051,4,6,66.66666666666667,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.986021419812478e-08,-3.1945766735998733
s__GGB24373_SGB36211,4,6,66.66666666666667,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.300075282637706e-09,-1.9337508027375192
s__GGB24999_SGB36914,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB25022_SGB36939,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB24172_SGB35979,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,3.2119624756062986e-21,-4.340590422397788
s__GGB2275_SGB136518,4,6,66.66666666666667,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,9.984894088692485e-07,-2.0999536296891614
s__GGB16996_SGB25597,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,5.0896130932184e-11,-0.12965812310066083
s__GGB15867_SGB24119,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,5.177974455107972e-11,-0.6014523989229279
s__GGB26653_SGB38834,4,6,66.66666666666667,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,2.9719296185088284e-07,-2.5685361271399576
s__GGB26682_SGB64469,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,7.9111760103077585e-22,-10.622754440369425
s__Flavobacterium_supellecticarium,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.7799031987351772
s__GGB25349_SGB37288,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB25377_SGB37325,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB25411_SGB37363,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB27302_SGB39542,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB27469_SGB39758,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Flavobacterium_sp_HXWNR29,4,6,66.66666666666667,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,8.611504347997306e-08,-1.8149478528612337
s__GGB27187_SGB39409,4,6,66.66666666666667,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Flavobacterium_oncorhynchi,4,6,66.66666666666667,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,2.9719296185088284e-07,-2.669264481978847
s__GGB25734_SGB37713,4,6,66.66666666666667,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.561901399456444e-07,-1.341164981806393
