,Prevalence,Mean_Rel_Abund
MB-8355,0.26666666666666666,0.0024864573373152305
MB-2168,0.13333333333333333,0.0027948378929611643
MB-2386,0.2,0.0025876728292540323
MB-7258,0.2,0.0026056382446754804
MB-8898,0.13333333333333333,0.0024839149318392467
MB-9833,0.16666666666666666,0.002422869048231114
MB-2766,0.06666666666666667,0.002819455088982444
MB-6938,0.16666666666666666,0.002819652001348516
MB-7677,0.2,0.0026853560927886386
MB-8629,0.2,0.002623083065812167
MB-2501,0.23333333333333334,0.002476287818115131
MB-7497,0.16666666666666666,0.00233750113432099
MB-6365,0.13333333333333333,0.0024864979634114095
MB-4427,0.13333333333333333,0.0028112148366644754
MB-2369,0.3,0.0024357083025554433
MB-5299,0.13333333333333333,0.0025314468430097524
MB-4444,0.2,0.0025173082771659987
MB-7799,0.2,0.002668155346513004
MB-8134,0.1,0.002246597211330858
MB-4569,0.06666666666666667,0.0026174912658924504
MB-9888,0.2,0.0025158838304301847
MB-7310,0.16666666666666666,0.0023948713949031885
MB-8398,0.13333333333333333,0.0024467197424541277
MB-9864,0.13333333333333333,0.0024364375896045545
MB-6341,0.2,0.0023664506972527672
MB-4580,0.1,0.002305777652032819
MB-2142,0.13333333333333333,0.002485194084244023
MB-7565,0.13333333333333333,0.002525185172740508
MB-6987,0.2,0.002402097318211882
MB-5775,0.16666666666666666,0.002819816668425576
MB-2596,0.2,0.002317701516463792
MB-9953,0.13333333333333333,0.0025930491651726256
MB-8658,0.2,0.0025598149970525513
MB-7225,0.2,0.002680742241062385
MB-1486,0.1,0.002673415625838701
MB-1505,0.3,0.002648787847305631
MB-8183,0.06666666666666667,0.002675477863575501
MB-5883,0.16666666666666666,0.0023317024132763144
MB-1098,0.16666666666666666,0.0028444813637750854
MB-9403,0.16666666666666666,0.002742791765600827
MB-2211,0.16666666666666666,0.002316495008678194
MB-6671,0.1,0.0023860828334139883
MB-6868,0.1,0.0026035752456844054
MB-8396,0.2,0.0025468402132843653
MB-3073,0.06666666666666667,0.002590458214059783
MB-2966,0.06666666666666667,0.0023560482339298173
MB-5143,0.16666666666666666,0.0028401531664313004
MB-3109,0.03333333333333333,0.002809243710775782
MB-7031,0.03333333333333333,0.0020276196056386265
MB-7558,0.13333333333333333,0.0022060527532047334
MB-6338,0.1,0.002465847642307142
MB-9155,0.16666666666666666,0.0026649172852592244
MB-4261,0.16666666666666666,0.0023831586070311413
MB-7907,0.13333333333333333,0.0026145598929414042
MB-5723,0.3,0.002326886991742884
MB-2553,0.1,0.0023755437061180763
MB-6356,0.23333333333333334,0.0026465317421747476
MB-8934,0.03333333333333333,0.002957787244071919
MB-9669,0.1,0.0027071564015288484
MB-7022,0.13333333333333333,0.0024580418397357863
MB-2994,0.1,0.002770831092796149
MB-7364,0.16666666666666666,0.0028543001286933903
MB-8906,0.13333333333333333,0.002258446027420656
MB-5070,0.13333333333333333,0.0027842037005600347
MB-9204,0.13333333333333333,0.0027486733957159592
MB-6021,0.13333333333333333,0.0023553358812031305
MB-7403,0.1,0.0024275357255515765
MB-7303,0.26666666666666666,0.002589149946551849
MB-1073,0.16666666666666666,0.002334775154863818
MB-2770,0.03333333333333333,0.0020276196056386265
MB-9157,0.16666666666666666,0.0025197635752186418
MB-1300,0.13333333333333333,0.0025497329259461577
MB-7430,0.1,0.002455818341910614
MB-4304,0.06666666666666667,0.002206587339637177
MB-1086,0.2,0.0024199994815251994
MB-2021,0.2,0.0026235175347686826
MB-6194,0.16666666666666666,0.002347443208627375
MB-4084,0.1,0.0023005071049701704
MB-9244,0.13333333333333333,0.0024594695637727357
MB-8279,0.13333333333333333,0.0026480918024568132
MB-7442,0.13333333333333333,0.0023258783916411743
MB-8019,0.16666666666666666,0.0023477325098434647
MB-1146,0.16666666666666666,0.0026299161177780555
MB-2428,0.23333333333333334,0.0027244875748837364
MB-1137,0.26666666666666666,0.0026433456986825663
MB-9250,0.06666666666666667,0.002202180718896732
MB-3908,0.06666666666666667,0.0019086117540978258
MB-2826,0.23333333333333334,0.0024701522770206263
MB-6409,0.23333333333333334,0.002841152755459254
MB-6025,0.2,0.0026381544448044222
MB-5139,0.06666666666666667,0.0023998452260987875
MB-1248,0.16666666666666666,0.002536321700513942
MB-3181,0.16666666666666666,0.002821426684435665
MB-8956,0.16666666666666666,0.002543201286498099
MB-5689,0.2,0.002649992803876015
MB-7455,0.23333333333333334,0.002594285878165706
MB-2893,0.16666666666666666,0.0022916782443749713
MB-5562,0.13333333333333333,0.0027354870987057866
MB-4678,0.26666666666666666,0.0024255050465397236
MB-7963,0.16666666666666666,0.0022404265610890734
MB-5029,0.2,0.002674513319573408
MB-7390,0.26666666666666666,0.0023249376475458533
MB-1599,0.13333333333333333,0.002725866198270355
MB-8390,0.06666666666666667,0.00213956491523017
MB-3303,0.16666666666666666,0.002653350290814099
MB-9929,0.2,0.00267693605692505
MB-2963,0.16666666666666666,0.0026832426164115964
MB-6544,0.13333333333333333,0.002760049762742271
MB-4073,0.13333333333333333,0.002104506054869297
MB-2333,0.16666666666666666,0.0022654863967064677
MB-2167,0.1,0.0021645814411092646
MB-7917,0.23333333333333334,0.002438045283309938
MB-8037,0.13333333333333333,0.002451536013900041
MB-4408,0.13333333333333333,0.0025807275219367227
MB-3320,0.23333333333333334,0.002159942830288697
MB-8171,0.1,0.0020376645413979436
MB-5822,0.23333333333333334,0.002447654952644889
MB-3005,0.23333333333333334,0.0023647913297583684
MB-7068,0.1,0.0027798625812600498
MB-5402,0.1,0.0021124300757587953
MB-1855,0.13333333333333333,0.0022288300698533516
MB-6956,0.2,0.002609848799770916
MB-5771,0.06666666666666667,0.002345431173271211
MB-5482,0.23333333333333334,0.0026757081611572947
MB-8991,0.23333333333333334,0.0024361154128469823
MB-7380,0.1,0.0024042162406520823
MB-4130,0.1,0.002599758208381724
MB-8612,0.13333333333333333,0.0028480006327306472
MB-4393,0.2,0.0026359139593393833
MB-9696,0.2,0.002342359188483668
MB-8895,0.16666666666666666,0.002689617542328977
MB-9121,0.13333333333333333,0.0026467537690777507
MB-4960,0.13333333333333333,0.0022568228050098673
MB-7067,0.2,0.0024745352646362087
MB-1545,0.13333333333333333,0.0024534785624924227
MB-4114,0.06666666666666667,0.002069675251535071
MB-6243,0.13333333333333333,0.0025173944808323124
MB-1845,0.2,0.0024338666170774397
MB-3454,0.13333333333333333,0.0024388036674993278
MB-5981,0.16666666666666666,0.0024337406539637675
MB-8360,0.06666666666666667,0.0019803901925873517
MB-1100,0.2,0.002584051829232853
MB-2131,0.2,0.0024370809248621685
MB-6347,0.23333333333333334,0.002903270053664467
MB-9895,0.3,0.002703841630560269
MB-7746,0.23333333333333334,0.002481998263177447
MB-5123,0.1,0.0025746446405709635
MB-3950,0.26666666666666666,0.002452023738431809
MB-6760,0.1,0.002538463040548042
MB-3465,0.26666666666666666,0.002446031540046145
MB-7047,0.23333333333333334,0.0025264846557498067
MB-1531,0.13333333333333333,0.0026101229726742925
MB-1776,0.16666666666666666,0.002403577802733993
MB-4397,0.1,0.002484171030602705
MB-3419,0.23333333333333334,0.002337400656613588
MB-2394,0.06666666666666667,0.0024019825301474424
MB-9360,0.06666666666666667,0.0026534507696014836
MB-9468,0.26666666666666666,0.0027048440988076375
MB-7247,0.2,0.002685799055195562
MB-4055,0.06666666666666667,0.0028546784883622324
MB-7161,0.1,0.0028771543938290994
MB-3919,0.23333333333333334,0.002377999223286051
MB-9942,0.2,0.002783979869575576
MB-1468,0.16666666666666666,0.002307611755518758
MB-3824,0.06666666666666667,0.0024806892008194777
MB-4659,0.26666666666666666,0.0025985881670012164
MB-1123,0.2,0.0027559718821167966
MB-6538,0.16666666666666666,0.002584489837908874
MB-3550,0.23333333333333334,0.0024163811672387914
MB-3558,0.2,0.002437471112639039
MB-9112,0.03333333333333333,0.00210065087021451
MB-4633,0.23333333333333334,0.0026522879956878504
MB-4934,0.16666666666666666,0.002487122925984036
MB-1150,0.3,0.0025073545107776197
MB-1138,0.06666666666666667,0.0021215339421258297
MB-5787,0.16666666666666666,0.0022598396448693676
MB-6295,0.13333333333333333,0.0026029727518710904
MB-3452,0.36666666666666664,0.002368870353210184
MB-1989,0.2,0.002765546267704534
MB-9567,0.13333333333333333,0.0026454082019960437
MB-2556,0.1,0.002753817543200329
MB-7078,0.1,0.0021916205665847384
MB-6594,0.23333333333333334,0.0025422081329612685
MB-6134,0.06666666666666667,0.002906586217390444
MB-4256,0.2,0.0022245101214308535
MB-2708,0.1,0.002387611204172284
MB-6468,0.1,0.0026503950333842045
MB-3743,0.2,0.0023738752699539335
MB-4868,0.23333333333333334,0.002732178811491718
MB-1902,0.26666666666666666,0.002607763677421267
MB-3747,0.2,0.002689351324879999
MB-7292,0.06666666666666667,0.0020270225711310806
MB-7529,0.06666666666666667,0.002380243346346374
MB-5749,0.2,0.002618211842953305
MB-7385,0.1,0.002769633456407113
MB-1323,0.16666666666666666,0.0027441405834106114
MB-6028,0.1,0.0025594671830167226
MB-8402,0.16666666666666666,0.002274969460075633
MB-7995,0.13333333333333333,0.00282746398649797
MB-4473,0.16666666666666666,0.002728672799550976
MB-2182,0.1,0.0029542437435963694
MB-4460,0.06666666666666667,0.002445020267038917
MB-2996,0.13333333333333333,0.0025669627518550707
MB-2088,0.2,0.0026090520905880936
MB-2231,0.13333333333333333,0.00252332839904836
MB-9969,0.16666666666666666,0.002357221170037042
MB-6129,0.16666666666666666,0.002291895840885559
MB-9877,0.2,0.0022894409626641856
MB-8706,0.03333333333333333,0.0025418354744072883
MB-8438,0.13333333333333333,0.002242756397189009
MB-1218,0.16666666666666666,0.002572313114836445
MB-8534,0.16666666666666666,0.002713136170071316
MB-4625,0.13333333333333333,0.002546445307583679
MB-2757,0.13333333333333333,0.0025468964326951014
MB-3487,0.16666666666666666,0.0025343171219831566
MB-9694,0.2,0.00247144747091297
MB-4483,0.23333333333333334,0.0026589716038486217
MB-4651,0.06666666666666667,0.002265540927337136
MB-9150,0.1,0.002120148296184203
MB-3294,0.1,0.002299267671532401
MB-3757,0.2,0.0024044890751257616
MB-3064,0.13333333333333333,0.0025829806531968078
MB-8904,0.16666666666666666,0.00256929132937788
MB-2019,0.13333333333333333,0.002560424241164529
MB-3374,0.13333333333333333,0.0024761774463703265
MB-7756,0.13333333333333333,0.0024653095056208388
MB-7082,0.26666666666666666,0.002450644406609017
MB-8826,0.16666666666666666,0.002213116548510645
MB-9311,0.1,0.0022101769275150035
MB-5654,0.26666666666666666,0.0026711068027040247
MB-1029,0.13333333333333333,0.0028097202520321013
MB-2128,0.06666666666666667,0.0026638567163295352
MB-7084,0.2,0.0026421802830076204
MB-3385,0.23333333333333334,0.002643678172763786
MB-7255,0.1,0.0024114124098044394
MB-5785,0.1,0.0022240989356641662
MB-4857,0.16666666666666666,0.0028057732934095164
MB-5416,0.2,0.002594617412008824
MB-7796,0.06666666666666667,0.002465061242688901
MB-5583,0.13333333333333333,0.00280632984158528
MB-2227,0.13333333333333333,0.0027586888261578457
MB-9680,0.2,0.002745398378974304
MB-4747,0.3333333333333333,0.002763868067421198
MB-9531,0.2,0.0024897849747976407
MB-2391,0.13333333333333333,0.0029233864792330053
MB-1569,0.13333333333333333,0.002590081789264132
MB-3560,0.23333333333333334,0.002488886067415233
MB-3508,0.03333333333333333,0.002141879391584433
MB-3520,0.2,0.0023708818827971414
MB-1906,0.13333333333333333,0.0025624473448861624
MB-3480,0.16666666666666666,0.0024484902475937296
MB-2946,0.06666666666666667,0.002457852045106973
MB-9049,0.16666666666666666,0.0024519258611313227
MB-8765,0.3,0.002417627848655987
MB-2269,0.16666666666666666,0.0027873831836033387
MB-3021,0.1,0.0023705949180242206
MB-3748,0.13333333333333333,0.0029639276840524474
MB-8915,0.16666666666666666,0.0024560534632754446
MB-5204,0.16666666666666666,0.0023737902780503663
MB-6535,0.2,0.002298202304550757
MB-1651,0.13333333333333333,0.0025410271653636433
MB-2473,0.06666666666666667,0.0024661986547579186
MB-1047,0.1,0.0024577809340462263
MB-6301,0.2,0.0023236042871984308
MB-8666,0.16666666666666666,0.0026827294062247292
MB-1547,0.1,0.002350691340877749
MB-5085,0.16666666666666666,0.002558404131337763
MB-8850,0.1,0.002575139954916736
MB-8041,0.13333333333333333,0.002384641916678727
MB-2253,0.1,0.0027714266326427693
MB-7183,0.06666666666666667,0.0026311836132387823
MB-5309,0.1,0.0027012404666296843
MB-5090,0.16666666666666666,0.0024955655523385342
MB-6245,0.06666666666666667,0.0021340078069470763
MB-8607,0.23333333333333334,0.0026176245228818
MB-8419,0.13333333333333333,0.0027336138321792385
MB-8477,0.16666666666666666,0.0025174316113590256
MB-2488,0.03333333333333333,0.0031490025187821844
MB-1979,0.13333333333333333,0.0024741013113051932
MB-9809,0.16666666666666666,0.0026648557377448906
MB-8224,0.2,0.0026558271822567626
MB-2562,0.1,0.0020725216285737086
MB-4764,0.2,0.00246382112099774
MB-4703,0.13333333333333333,0.002255892813945427
MB-7533,0.13333333333333333,0.0021768795356238656
MB-4905,0.2,0.002699070697305997
MB-1167,0.23333333333333334,0.002545419891967083
MB-6116,0.16666666666666666,0.002363856370717952
MB-1841,0.13333333333333333,0.0025223822129256668
MB-3773,0.1,0.0027147478772483065
MB-9477,0.26666666666666666,0.002441693328348677
MB-8893,0.16666666666666666,0.0025963054142963413
MB-9033,0.06666666666666667,0.002206441244883578
MB-7083,0.06666666666666667,0.0022361586885523543
MB-6691,0.06666666666666667,0.002003773812704152
MB-6042,0.13333333333333333,0.0023645987560842203
MB-5592,0.13333333333333333,0.002048375872912453
MB-4180,0.03333333333333333,0.0022629947854943414
MB-4152,0.16666666666666666,0.0024420038093907557
MB-3344,0.1,0.002440437474005099
MB-3643,0.13333333333333333,0.0024463629575625007
MB-3731,0.1,0.0021578595828704848
MB-3143,0.1,0.0021989315733618115
MB-1554,0.2,0.002876803813283258
MB-7064,0.1,0.0028029882989427488
MB-5354,0.23333333333333334,0.0024978827263396645
MB-5845,0.2,0.0026934754676175565
MB-5774,0.23333333333333334,0.0025999169911171565
MB-3037,0.1,0.002419189265392846
MB-1191,0.13333333333333333,0.002779353451313526
MB-2251,0.06666666666666667,0.0025304355783747423
MB-3091,0.06666666666666667,0.0021206524115050416
MB-4867,0.2,0.0029405207683022984
MB-4150,0.2,0.002498289656433682
MB-9631,0.1,0.002703930223383678
MB-1817,0.1,0.0022767728764274847
MB-3909,0.1,0.0024820628323144306
MB-6530,0.2,0.002832658097074484
MB-9016,0.26666666666666666,0.0025693276767298698
MB-1107,0.16666666666666666,0.002559738132252116
MB-5796,0.23333333333333334,0.0022295604421758183
MB-4285,0.13333333333333333,0.002534626419295211
MB-9156,0.3,0.0024239380352140236
MB-3595,0.13333333333333333,0.0024533209386308555
MB-5119,0.2,0.0024358761994215166
MB-9037,0.16666666666666666,0.0022280064081579526
MB-6807,0.16666666666666666,0.0029100566130345605
MB-5171,0.2,0.0026455840943227804
MB-9254,0.16666666666666666,0.0024439882673004585
MB-4027,0.03333333333333333,0.002365791724956592
MB-4893,0.3,0.0026470935681746615
MB-8363,0.26666666666666666,0.002569275871362309
MB-2256,0.06666666666666667,0.002529007546223606
MB-6097,0.13333333333333333,0.002502211121797627
MB-4954,0.06666666666666667,0.002618570855208817
MB-1933,0.2,0.002148158254747993
MB-6277,0.2,0.0024718670721101403
MB-7163,0.13333333333333333,0.002761363867693429
MB-3105,0.13333333333333333,0.0021349364365434264
MB-9541,0.1,0.0025243205289659726
MB-7754,0.26666666666666666,0.002605434112616759
MB-4913,0.03333333333333333,0.002435875157853232
MB-1524,0.16666666666666666,0.0023352766816781573
MB-9810,0.13333333333333333,0.002529794480214203
