species,n_significant_pairs,n_total_pairs,pct_significant,strongest_pair,strongest_p_adjusted,strongest_effect_size
s__Polynucleobacter_sp_78F_HAINBA,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,-9.782760939678463
s__Amniculibacterium_aquaticum,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,5.946563714405692e-09,1.843540268052519
s__Tessaracoccus_sp_MC1627,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Acidovorax_facilis,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__beta_proteobacterium_CB,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,6.5828961372316484e-09,2.8661390662921677
s__Undibacterium_amnicola,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,1.0061058227569822e-05,-5.327857605720924
s__Pleurocapsa_sp_CCALA_161,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,-6.3458580866718135
s__Sphingobium_xenophagum,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__GGB46018_SGB63757,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Smithella_sp_F21,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Salmonella_enterica,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB57281_SGB78792,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,-9.314192516836341
s__Thermomonas_beijingensis,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,2.6008718033378704e-08,2.0420364762832266
s__GGB46331_SGB64109,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,6.412596043441982e-10,2.198056391393943
s__Polynucleobacter_difficilis,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,4.1556276074908676e-08,2.2226823963112388
s__Stenotrophomonas_rhizophila,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Staphylococcus_saccharolyticus,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Polynucleobacter_yangtzensis,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,1.7087532932446688e-08,3.8974172982010256
s__Polynucleobacter_sp_es_MAR_4,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Polynucleobacter_sp_MWH_CaK5,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,1.4448201563468003e-09,1.4720652124080615
s__Polynucleobacter_sp_AP_Ainpum_60_G11,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,6.894949743543158e-11,2.4408824329536323
s__Polynucleobacter_sp_AM_7D1,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.716319963151629e-10,1.7999248149820857
s__Polynucleobacter_sp_AM_26B4,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,1.0973005066646129
s__Polynucleobacter_sp_86C_FISCH,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,2.368232699782716e-08,1.973125576681662
s__GGB46527_SGB64388,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.515224499782532e-09,1.0993358546373329
s__GGB38373_SGB52357,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,1.0696374627798233
s__GGB34754_SGB82226,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB34383_SGB60872,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Acinetobacter_sp_ANC_4204,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__GGB44499_SGB61930,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Acinetobacter_sp_ANC_4862,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB55003_SGB76235,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Limnohabitans_sp_Rim47,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.103083539442359e-09,1.1157759718039282
s__GGB54795_SGB76022,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Actinomycetia_unclassified_SGB64102,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,5.878409808484594e-09,1.2697999679164957
s__Advenella_mandrilli,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB67319_SGB91067,9,10,90.0,Chopyk_2020_pond vs Schulz_2017_wastewater,1.269941151127464e-07,-6.2890917904045995
s__GGB42856_SGB80180,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__GGB28533_SGB41136,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB41806_SGB58900,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__GGB41726_SGB58815,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB42125_SGB59267,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,1.564010512515665e-07,2.678126681716158
s__Methylorubrum_extorquens,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB75611_SGB103138,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,8.951411772171825e-09,2.15341489527965
s__GGB75522_SGB103289,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,1.564010512515665e-07,2.5296389956775713
s__Neglectibacter_timonensis,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Mesotoga_prima,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__GGB24856_SGB81948,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,7.1303957179690425e-09,1.2728074946928836
s__Nitrosomonas_sp_PY1,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB32489_SGB48813,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB32349_SGB82186,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Flavobacterium_sp_GENT5,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,8.951411772171825e-09,3.704241540903091
s__Polynucleobacter_sp_30F_ANTBAC,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__GGB27278_SGB39510,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Kurthia_huakuii,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,5.600421539982555e-08,0.7659804406018719
s__Lacihabitans_sp_CS3_21,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,3.65506972046259e-08,1.9909536486722146
s__GGB26464_SGB38629,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,-7.122409709114518
s__GGB25836_SGB37823,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__GGB25723_SGB84803,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB25723_SGB106723,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB70913_SGB95372,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,9.361714677806426e-09,2.4356268825138208
s__Deefgea_tanakiae,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Polynucleobacter_sp_31A_FELB,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.131646428644585e-08,1.506254385308949
s__GGB73886_SGB39359,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Kaistella_chaponensis,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Dechloromonas_sp_H13,9,10,90.0,Chu_2017_sludge vs Schulz_2017_wastewater,8.158793543667189e-06,-0.3981352303443133
s__Candidatus_Nanopelagicus_abundans,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,2.3213872008777563
s__Flavobacterium_franklandianum,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.492840215354382e-08,1.6429047380550554
s__Flavobacterium_cheniae,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Candidatus_Fonsibacter_ubiquis,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,5.946563714405692e-09,1.2692786259087323
s__Enterobacter_ludwigii,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__GGB24445_SGB36288,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Limnohabitans_sp_2KL_27,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,2.7204376959476114e-09,1.3392009366334423
s__Limnohabitans_sp_2KL_3,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.103083539442359e-09,1.1053600074557164
s__Lacticaseibacillus_rhamnosus,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Lactobacillus_gasseri,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Epilithonimonas_hominis,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Rhodoluna_limnophila,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,1.5912010865846572e-09,1.5349646171093216
s__Pseudomonas_extremaustralis,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Raoultella_terrigena,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Pseudomonas_simiae,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Pseudomonas_putida,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Limnohabitans_parvus,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Flavobacterium_sp_F_340,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.464391064206139
s__Flavobacterium_oncorhynchi,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.4217882472965933
s__Pseudomonas_brenneri,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Limnohabitans_sp_63ED37_2,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.33841895617444e-09,1.1852528648554226
s__Limnohabitans_sp_G3_2,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Methanoculleus_SGB45879,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__GGB23683_SGB35384,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.515224499782532e-09,1.1232193096304184
s__GGB92434_SGB133094,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.4409971405871809
s__GGB92586_SGB133387,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.430790625511778
s__GGB92602_SGB133320,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.4837366004478028
s__Limnohabitans_sp_Hippo3,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,1.6429060177930543e-12,4.608181834481107
s__Pseudomonas_aeruginosa,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Limnohabitans_sp_2KL_51,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,3.1915782715999156e-09,2.060447554058712
s__Flavobacterium_glycines,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,1.0969135060367804e-09,1.806861228799931
s__Flavobacterium_lutivivi,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,4.089122255156093e-10,2.174624347461979
s__GGB89594_SGB125941,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.4303802241800543
s__Flavobacterium_plurextorum,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.402948776056972
s__Flavobacterium_sp_123,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,3.894392500529051e-11,2.147094927658808
s__GGB89586_SGB125898,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.4260336976919499
s__Pseudomonas_protegens,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Limnohabitans_curvus,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,4.3432877602321846e-13,4.231164164744195
s__Leptothrix_cholodnii,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,9.98762519941801e-10,1.6165852988985452
s__Pseudomonas_sp_DG56_2,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Pseudacidovorax_intermedius,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,1.3389116420173454e-09,1.6732151193726557
s__Pseudanabaena_sp_UWO311,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Pseudanabaena_sp_lw0831,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Pseudarthrobacter_sp_NIBRBAC000502770,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.426618495761821
s__Qipengyuania_aerophila,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Ralstonia_pickettii,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,3.6289824704627507
s__Limnohabitans_sp_MMS_10A_160,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,1.0766704215427579e-10,3.149240882055638
s__Limnohabitans_sp_Jir72,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,5.439332898976927e-12,3.159880452923594
s__Pseudomonas_mandelii,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.8340078655954695
s__Rhodoferax_sp_TS_BS_61_7,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.162003192218482e-06,0.3572831197040305
s__Rhodoluna_lacicola,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,1.6429060177930543e-12,3.497793773707703
s__Leclercia_adecarboxylata,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Pseudomonas_veronii,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__GGB24645_SGB36508,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__GGB24669_SGB36543,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.8680555409475272
s__GGB24759_SGB36651,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__GGB23698_SGB35400,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,3.4152684185247403e-09,1.578306263122595
s__GGB23787_SGB63754,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Lactococcus_lactis,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.1839867096881918e-07,2.4014683073804073
s__GGB24407_SGB36248,8,10,80.0,Chu_2017_sludge vs Schulz_2017_wastewater,5.086326360414263e-09,-7.57951202757493
s__Candidatus_Methylomirabilis_limnetica,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,4.737017628462229e-09,0.764884182857126
s__GGB24641_SGB36504,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Erythrobacter_ramosus,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.3984638973390144
s__Ferribacterium_limneticum,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,9.956887693058662e-07,0.8457390954412365
s__Candidatus_Megaira_endosymbiont_of_Carteria_cerasiformis,8,10,80.0,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,9.953578080399477e-06,9.237013596415494
s__Ferriphaselus_sp_R_1,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,2.6538526949799905e-10,1.8636256178350425
s__Flavobacteriia_unclassified_SGB79047,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,1.3167222390759468
s__Flavobacterium_aquatile,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,9.562915488738427e-07,1.227439001714547
s__Flavobacterium_celericrescens,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.3775861613486833
s__Candidatus_Bipolaricaulis_anaerobius,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Flavobacterium_collinsii,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Flavobacterium_difficile,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.7236316797412057
s__Candidatus_Nitrosocosmicus_oleophilus,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.4494343511393621
s__GGB96995_SGB136899,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Gemmatimonas_groenlandica,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.492840215354382e-08,1.3697844164741046
s__GGB90062_SGB126913,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.467391606265995
s__GGB90602_SGB127226,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.472915673465251
s__GGB90602_SGB127229,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.443975253643197
s__GGB91291_SGB134920,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,1.7551181122852665e-07,-0.09214160294066837
s__GGB91756_SGB134018,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,5.946563714405692e-09,1.359477971241026
s__Hylemonella_gracilis,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,5.878409808484594e-09,1.6309417701526097
s__Jeotgalibaca_porci,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Dysgonomonas_sp_GY617,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,5.899842014506599e-08,0.8272465696152967
s__GGB93439_SGB131938,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__GGB93539_SGB132226,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__GGB93874_SGB128178,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,6.5828961372316484e-09,1.4607155866586399
s__GGB73317_SGB83926,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,3.573822220020029e-09,2.4175453621550433
s__Cutibacterium_acnes,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__GGB7446_SGB10879,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,1.2734952764261562
s__Haematospirillum_sp_H1815,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,1.2642846144882014
s__GGB7511_SGB10952,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,7.973871301131467e-09,1.4261460997042303
s__GGB75160_SGB103632,8,10,80.0,Chu_2017_sludge vs Schulz_2017_wastewater,5.086326360414263e-09,-5.9962560554683355
s__GGB69468_SGB93649,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,7.617358389620253e-09,1.2753263349430695
s__Diaphorobacter_nitroreducens,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Rhodocyclaceae_bacterium,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,8.996847794166473e-09,2.785462002521312
s__GGB25672_SGB61746,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,1.0726587592973371e-11,4.634905070204713
s__Rhizobiales_bacterium_TNE_4,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,2.5008846768205054e-09,2.3843944563398223
s__Comamonas_badia,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.756038873165318
s__Dechloromonas_denitrificans,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,1.865886433160025
s__Cylindrospermopsis_raciborskii,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,1.6471794047109275e-09,1.918965559848633
s__GGB26613_SGB38793,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.693652196294135e-11,2.8459761786740243
s__GGB26945_SGB39146,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__GGB27181_SGB39400,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Leptonema_illini,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,1.1281603444999861
s__Polynucleobacter_necessarius,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,1.4547149016347243e-10,2.6361442021477552
s__Lelliottia_amnigena,8,10,80.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Novosphingobium_umbonatum,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,1.5303375986314644e-10,2.1095152768024557
s__Flavobacterium_tructae,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,3.608072729724423
s__GGB24172_SGB35979,8,10,80.0,Chu_2017_sludge vs Schulz_2017_wastewater,7.173112367774881e-09,-3.6010438346951035
s__GGB24307_SGB36132,8,10,80.0,Chopyk_2020_pond vs Chu_2017_sludge,8.130152398798915e-09,1.381735144032167
s__GGB15004_SGB62020,8,10,80.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
